NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage
Alternate Mode Transportation Center,Class 4,High,High,Moderate,Public Transportation Data Mart
Archived Data System,Class 5,High,High,High,Public Transportation Data Mart
Payment Administration Center,Class 4,High,High,Moderate,Public Transportation Data Mart
Archived Data User System,Class 4,High,High,Low,Public Transportation Data Mart
Other Archived Data Systems,Class 5,Moderate,High,High,Public Transportation Data Mart
Archived Data Administrator,,,,,Public Transportation Data Mart
Traffic Management Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Maint and Constr Management Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
ITS Roadway Equipment,Class 2,Moderate,Moderate,Low,Comprehensive Transportation Data Warehouse
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Low,Comprehensive Transportation Data Warehouse
Intermodal Terminal,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Transportation Information Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Transit Management Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Alternate Mode Transportation Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Emissions Management Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Weather Service System,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Surface Transportation Weather Service,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Archived Data System,Class 5,High,High,High,Comprehensive Transportation Data Warehouse
Payment Administration Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Emergency Management Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Border Inspection Administration Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Archived Data User System,Class 4,High,High,Low,Comprehensive Transportation Data Warehouse
Other Archived Data Systems,Class 5,Moderate,High,High,Comprehensive Transportation Data Warehouse
Archived Data Administrator,,,,,Comprehensive Transportation Data Warehouse
Other Data Sources,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Asset Management System,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Parking Management Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse
Archived Data System,Class 5,High,High,High,Distributed Data Warehouse
Archived Data User System,Class 4,High,High,Low,Distributed Data Warehouse
Other Archived Data Systems,Class 5,Moderate,High,High,Distributed Data Warehouse
Archived Data Administrator,,,,,Distributed Data Warehouse
Archived Data System,Class 5,High,High,High,Automated Traffic Signal Performance Measures (ATSPM)
Government Reporting Systems,Class 3,Low,High,Low,Automated Traffic Signal Performance Measures (ATSPM)
Archived Data User System,Class 4,High,High,Moderate,Automated Traffic Signal Performance Measures (ATSPM)
Other Archived Data Systems,Class 5,Moderate,High,High,Automated Traffic Signal Performance Measures (ATSPM)
Archived Data Administrator,,,,,Automated Traffic Signal Performance Measures (ATSPM)
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Passive RFID Technologies
Maint and Constr Center Personnel,,,,,Passive RFID Technologies
Maint and Constr Field Personnel,,,,,Passive RFID Technologies
Asset Management System,Class 2,Moderate,Moderate,Moderate,Passive RFID Technologies
Field,Class 1,Low,Moderate,Moderate,Passive RFID Technologies
Personnel Device,Class 2,Moderate,Moderate,Moderate,Passive RFID Technologies
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies
Maint and Constr Center Personnel,,,,,Active RFID Technologies
Asset Management System,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies
Field,Class 1,Low,Moderate,Moderate,Active RFID Technologies
Maint and Constr Vehicle Operator,,,,,Active RFID Technologies
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies and Remote Control
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies and Remote Control
Maint and Constr Center Personnel,,,,,Active RFID Technologies and Remote Control
Maint and Constr Field Personnel,,,,,Active RFID Technologies and Remote Control
Asset Management System,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies and Remote Control
Field,Class 1,Low,Moderate,Moderate,Active RFID Technologies and Remote Control
Personnel Device,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies and Remote Control
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Active RFID Technologies and Automated Vehicle Collection
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies and Automated Vehicle Collection
Maint and Constr Center Personnel,,,,,Active RFID Technologies and Automated Vehicle Collection
Asset Management System,Class 2,Moderate,Moderate,Moderate,Active RFID Technologies and Automated Vehicle Collection
Field,Class 1,Low,Moderate,Moderate,Active RFID Technologies and Automated Vehicle Collection
Vehicle,Class 1,Low,Low,Moderate,Asset Tracking Based Infrastructure Warnings
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Asset Tracking Based Infrastructure Warnings
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Asset Tracking Based Infrastructure Warnings
Transportation Information Center,Class 1,Low,Moderate,Moderate,Asset Tracking Based Infrastructure Warnings
Maint and Constr Vehicle OBE,Class 1,Low,Low,Moderate,Asset Tracking Based Infrastructure Warnings
Maint and Constr Center Personnel,,,,,Asset Tracking Based Infrastructure Warnings
Asset Management System,Class 2,Moderate,Moderate,Moderate,Asset Tracking Based Infrastructure Warnings
Personnel Device,Class 1,Low,Low,Moderate,Asset Tracking Based Infrastructure Warnings
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Connected Vehicle Roadside Equipment,,,,,Infrastructure-Based Monitoring
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Parking Area Equipment,Class 2,Moderate,Moderate,Low,Infrastructure-Based Monitoring
Parking Operator,,,,,Infrastructure-Based Monitoring
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Parking Manager,,,,,Infrastructure-Based Monitoring
Vehicle Characteristics,,,,,Infrastructure-Based Monitoring
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Light Vehicle Driver,,,,,Infrastructure-Based Monitoring
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Personal Information Device,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Parking Operator,,,,,C-ITS Based Monitoring
Parking Management Center,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Parking Manager,,,,,C-ITS Based Monitoring
Vehicle Characteristics,,,,,C-ITS Based Monitoring
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Light Vehicle Driver,,,,,C-ITS Based Monitoring
Connected Vehicle Roadside Equipment,,,,,Infrastructure-Based Monitoring
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Parking Operator,,,,,Infrastructure-Based Monitoring
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Parking Manager,,,,,Infrastructure-Based Monitoring
Vehicle Characteristics,,,,,Infrastructure-Based Monitoring
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Monitoring
Light Vehicle Driver,,,,,Infrastructure-Based Monitoring
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Personal Information Device,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Transit Management Center,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Parking Operator,,,,,C-ITS Based Monitoring
Parking Management Center,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Parking Manager,,,,,C-ITS Based Monitoring
Vehicle Characteristics,,,,,C-ITS Based Monitoring
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,C-ITS Based Monitoring
Light Vehicle Driver,,,,,C-ITS Based Monitoring
Personal Information Device,Class 4,High,High,Moderate,Local Point of Sale
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Local Point of Sale
Financial Center,Class 2,Moderate,Moderate,Moderate,Local Point of Sale
Payment Administration Center,Class 4,High,High,Moderate,Local Point of Sale
Payment Device,Class 5,Moderate,Moderate,High,Local Point of Sale
Parking Area Equipment,Class 5,Moderate,Moderate,High,Local Point of Sale
Parking Operator,,,,,Local Point of Sale
Parking Management Center,Class 4,High,High,Moderate,Local Point of Sale
Parking Manager,,,,,Local Point of Sale
Light Vehicle Driver,,,,,Local Point of Sale
Personal Information Device,Class 5,High,High,High,Direct Payment Using WAW
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Direct Payment Using WAW
Financial Center,Class 2,Moderate,Moderate,Moderate,Direct Payment Using WAW
Payment Administration Center,Class 4,High,High,Moderate,Direct Payment Using WAW
Parking Management Center,Class 5,High,High,High,Direct Payment Using WAW
Parking Manager,,,,,Direct Payment Using WAW
Light Vehicle OBE,,,,,Direct Payment Using WAW
Light Vehicle Driver,,,,,Direct Payment Using WAW
Personal Information Device,Class 4,High,High,Moderate,C-ITS Based Payment
Enforcement Center,Class 2,Moderate,Moderate,Moderate,C-ITS Based Payment
Financial Center,Class 2,Moderate,Moderate,Moderate,C-ITS Based Payment
Payment Administration Center,Class 4,High,High,Moderate,C-ITS Based Payment
Payment Device,Class 5,Moderate,Moderate,High,C-ITS Based Payment
Parking Area Equipment,Class 5,High,High,High,C-ITS Based Payment
Parking Operator,,,,,C-ITS Based Payment
Parking Management Center,Class 4,High,High,Moderate,C-ITS Based Payment
Parking Manager,,,,,C-ITS Based Payment
Light Vehicle OBE,Class 5,High,High,High,C-ITS Based Payment
Light Vehicle Driver,,,,,C-ITS Based Payment
Traffic Management Center,Class 3,Moderate,High,Moderate,Traditional Field Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Traditional Field Control
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Traditional Field Control
Emergency Personnel,,,,,Traditional Field Control
Emergency Management Center,Class 3,Moderate,High,Moderate,Traditional Field Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Traditional TMC Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Traditional TMC Control
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Traditional TMC Control
Emergency Personnel,,,,,Traditional TMC Control
Emergency Management Center,Class 3,Moderate,High,Moderate,Traditional TMC Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Center Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Center Control
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Center Control
Emergency Personnel,,,,,Center Control
Emergency Management Center,Class 3,Moderate,High,Moderate,Center Control
Traffic Management Center,Class 3,Moderate,High,Moderate,C-ITS Field Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,C-ITS Field Control
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,C-ITS Field Control
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,C-ITS Field Control
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,C-ITS Field Control
Emergency Personnel,,,,,C-ITS Field Control
Emergency Management Center,Class 3,Moderate,High,Moderate,C-ITS Field Control
Traffic Management Center,Class 3,Moderate,High,Moderate,C-ITS Center Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,C-ITS Center Control
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,C-ITS Center Control
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,C-ITS Center Control
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,C-ITS Center Control
Emergency Personnel,,,,,C-ITS Center Control
Emergency Management Center,Class 3,Moderate,High,Moderate,C-ITS Center Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Traditional Field Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Traditional Field Control
Transit Management Center,Class 1,Low,Moderate,Moderate,Traditional Field Control
Transit Vehicle Operator,,,,,Traditional Field Control
Transit Operations Personnel,,,,,Traditional Field Control
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Traditional Field Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Traditional TMC Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Traditional TMC Control
Transit Management Center,Class 1,Low,Moderate,Moderate,Traditional TMC Control
Transit Vehicle Operator,,,,,Traditional TMC Control
Transit Operations Personnel,,,,,Traditional TMC Control
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Traditional TMC Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Center Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Center Control
Transit Management Center,Class 1,Low,Moderate,Moderate,Center Control
Transit Vehicle Operator,,,,,Center Control
Transit Operations Personnel,,,,,Center Control
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Center Control
Traffic Management Center,Class 3,Moderate,High,Moderate,C-ITS Field Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,C-ITS Field Control
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Field Control
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,C-ITS Field Control
Transit Management Center,Class 1,Low,Moderate,Moderate,C-ITS Field Control
Transit Vehicle Operator,,,,,C-ITS Field Control
Transit Operations Personnel,,,,,C-ITS Field Control
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,C-ITS Field Control
Traffic Management Center,Class 3,Moderate,High,Moderate,C-ITS Center Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,C-ITS Center Control
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Center Control
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,C-ITS Center Control
Transit Management Center,Class 1,Low,Moderate,Moderate,C-ITS Center Control
Transit Vehicle Operator,,,,,C-ITS Center Control
Transit Operations Personnel,,,,,C-ITS Center Control
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,C-ITS Center Control
Driver,,,,,Wide-Area Wireless
Vehicle,Class 1,Not Applicable,Low,Moderate,Wide-Area Wireless
Traffic Management Center,Class 3,Moderate,High,Moderate,Wide-Area Wireless
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Wide-Area Wireless
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Wide-Area Wireless
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Wide-Area Wireless
Transit Vehicle Operator,,,,,Wide-Area Wireless
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Wide-Area Wireless
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Wide-Area Wireless
Basic Vehicle,,,,,Wide-Area Wireless
Vehicle Characteristics,,,,,Wide-Area Wireless
Driver,,,,,Short Range Communications
Vehicle,Class 3,Moderate,High,Moderate,Short Range Communications
Traffic Management Center,Class 3,Moderate,High,Moderate,Short Range Communications
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Short Range Communications
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Short Range Communications
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Short Range Communications
Transit Vehicle Operator,,,,,Short Range Communications
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Short Range Communications
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Short Range Communications
Basic Vehicle,,,,,Short Range Communications
Vehicle Characteristics,,,,,Short Range Communications
Driver,,,,,Wide-Area Wireless
Vehicle,Class 1,Not Applicable,Low,Moderate,Wide-Area Wireless
Traffic Management Center,Class 3,Moderate,High,Moderate,Wide-Area Wireless
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Wide-Area Wireless
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Wide-Area Wireless
Driver,,,,,C-ITS Short Range Communications
Vehicle,Class 3,Low,High,Moderate,C-ITS Short Range Communications
Other Vehicles,Class 3,Not Applicable,High,Moderate,C-ITS Short Range Communications
Traffic Management Center,Class 3,Moderate,High,Moderate,C-ITS Short Range Communications
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,C-ITS Short Range Communications
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,C-ITS Short Range Communications
Driver,,,,,Wide Area Broadcast
Vehicle,Class 1,Not Applicable,Low,Moderate,Wide Area Broadcast
Traffic Management Center,Class 1,Low,Moderate,Moderate,Wide Area Broadcast
Maint and Constr Management Center,Class 5,Low,High,High,Wide Area Broadcast
Transportation Information Center,Class 5,Moderate,Moderate,High,Wide Area Broadcast
Personal Information Device,Class 1,Not Applicable,Low,Low,Wide Area Broadcast
Transit Management Center,Class 1,Low,Moderate,Moderate,Wide Area Broadcast
Emissions Management Center,Class 1,Not Applicable,Moderate,Low,Wide Area Broadcast
Weather Service System,Class 1,Low,Moderate,Moderate,Wide Area Broadcast
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Wide Area Broadcast
TIC Operator,,,,,Wide Area Broadcast
Payment Administration Center,Class 1,Low,Moderate,Low,Wide Area Broadcast
Event Promoter System,Class 3,Moderate,High,Moderate,Wide Area Broadcast
Emergency Management Center,Class 1,Low,Moderate,Moderate,Wide Area Broadcast
Traveler,,,,,Wide Area Broadcast
Traveler Support Equipment,Class 1,Not Applicable,Low,Low,Wide Area Broadcast
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Wide Area Broadcast
Media,Class 1,Low,Low,Moderate,Wide Area Broadcast
Border Inspection System,Class 1,Low,Moderate,Low,Wide Area Broadcast
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Wide Area Broadcast
Driver,,,,,C-ITS Local Broadcast
Vehicle,Class 1,Not Applicable,Low,Low,C-ITS Local Broadcast
Traffic Management Center,Class 1,Low,Moderate,Moderate,C-ITS Local Broadcast
Maint and Constr Management Center,Class 5,Low,High,High,C-ITS Local Broadcast
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Low,C-ITS Local Broadcast
Transportation Information Center,Class 5,Moderate,Moderate,High,C-ITS Local Broadcast
Personal Information Device,Class 1,Not Applicable,Low,Low,C-ITS Local Broadcast
Transit Management Center,Class 1,Low,Moderate,Moderate,C-ITS Local Broadcast
Emissions Management Center,Class 1,Not Applicable,Moderate,Low,C-ITS Local Broadcast
Weather Service System,Class 1,Low,Moderate,Moderate,C-ITS Local Broadcast
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,C-ITS Local Broadcast
TIC Operator,,,,,C-ITS Local Broadcast
Payment Administration Center,Class 1,Low,Moderate,Low,C-ITS Local Broadcast
Event Promoter System,Class 3,Moderate,High,Moderate,C-ITS Local Broadcast
Emergency Management Center,Class 1,Low,Moderate,Moderate,C-ITS Local Broadcast
Traveler,,,,,C-ITS Local Broadcast
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,C-ITS Local Broadcast
Media,Class 1,Low,Low,Moderate,C-ITS Local Broadcast
Border Inspection System,Class 1,Low,Moderate,Low,C-ITS Local Broadcast
Parking Management Center,Class 2,Moderate,Moderate,Moderate,C-ITS Local Broadcast
Transportation Information Center,Class 4,High,High,Moderate,Shared Use Mobility
Personal Information Device,Class 5,High,High,High,Shared Use Mobility
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility
TIC Operator,,,,,Shared Use Mobility
Financial Center,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility
Payment Device,Class 5,Moderate,Moderate,High,Shared Use Mobility
Traveler,,,,,Shared Use Mobility
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Shared Use Mobility
Shared Use Transportation Center,Class 4,High,High,Moderate,Shared Use Mobility
Micromobility Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility
SUTC Operator,,,,,Shared Use Mobility
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility
Transportation Information Center,Class 4,High,High,Moderate,Dynamic Ridesharing
Personal Information Device,Class 5,High,High,High,Dynamic Ridesharing
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Dynamic Ridesharing
TIC Operator,,,,,Dynamic Ridesharing
Financial Center,Class 2,Moderate,Moderate,Moderate,Dynamic Ridesharing
Payment Device,Class 5,Moderate,Moderate,High,Dynamic Ridesharing
Traveler,,,,,Dynamic Ridesharing
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Dynamic Ridesharing
Shared Use Transportation Center,Class 4,High,High,Moderate,Dynamic Ridesharing
Micromobility Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Dynamic Ridesharing
SUTC Operator,,,,,Dynamic Ridesharing
Light Vehicle OBE,Class 4,High,High,Moderate,Dynamic Ridesharing
Light Vehicle Driver,,,,,Dynamic Ridesharing
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Detector-Based Surveillance
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Detector-Based Surveillance
Transportation Information Center,Class 1,Low,Low,Moderate,Detector-Based Surveillance
Traffic Operations Personnel,,,,,Detector-Based Surveillance
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Low,Detector-Based Surveillance
Vehicle Characteristics,,,,,Detector-Based Surveillance
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Video Monitoring
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Video Monitoring
Transportation Information Center,Class 1,Low,Low,Moderate,Video Monitoring
Traffic Operations Personnel,,,,,Video Monitoring
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Video Monitoring
Vehicle Characteristics,,,,,Video Monitoring
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Bluetooth Signature Monitoring
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Bluetooth Signature Monitoring
Transportation Information Center,Class 1,Low,Low,Moderate,Bluetooth Signature Monitoring
Traffic Operations Personnel,,,,,Bluetooth Signature Monitoring
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Low,Bluetooth Signature Monitoring
Basic Vehicle,Class 1,Not Applicable,Moderate,Low,Bluetooth Signature Monitoring
Vehicle,Class 2,Moderate,Moderate,Moderate,Wide-Area Wireless Communications
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Wide-Area Wireless Communications
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Wide-Area Wireless Communications
Transit Management Center,Class 1,Low,Moderate,Low,Wide-Area Wireless Communications
Payment Administration Center,Class 1,Low,Moderate,Low,Wide-Area Wireless Communications
Basic Vehicle,,,,,Wide-Area Wireless Communications
Wireless Communications  Provider System,Class 1,Not Applicable,Moderate,Low,Wide-Area Wireless Communications
Vehicle,Class 2,Moderate,Moderate,Moderate,C-ITS Communications
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,C-ITS Communications
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Communications
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,C-ITS Communications
Transit Management Center,Class 1,Low,Moderate,Low,C-ITS Communications
Payment Administration Center,Class 1,Low,Moderate,Low,C-ITS Communications
Basic Vehicle,,,,,C-ITS Communications
Driver,,,,,Pre-Timed (Fixed Time) Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Pre-Timed (Fixed Time) Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Pre-Timed (Fixed Time) Control
Traffic Operations Personnel,,,,,Pre-Timed (Fixed Time) Control
Pedestrian,,,,,Pre-Timed (Fixed Time) Control
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Pre-Timed (Fixed Time) Control
MMV User,,,,,Pre-Timed (Fixed Time) Control
Vehicle Characteristics,,,,,Pre-Timed (Fixed Time) Control
Driver,,,,,Fully Traffic Responsive
Traffic Management Center,Class 3,Moderate,High,Moderate,Fully Traffic Responsive
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Fully Traffic Responsive
Traffic Operations Personnel,,,,,Fully Traffic Responsive
Pedestrian,,,,,Fully Traffic Responsive
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Fully Traffic Responsive
MMV User,,,,,Fully Traffic Responsive
Vehicle Characteristics,,,,,Fully Traffic Responsive
Driver,,,,,Field Master Controlled
Traffic Management Center,Class 3,Moderate,High,Moderate,Field Master Controlled
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Field Master Controlled
Traffic Operations Personnel,,,,,Field Master Controlled
Pedestrian,,,,,Field Master Controlled
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Field Master Controlled
MMV User,,,,,Field Master Controlled
Vehicle Characteristics,,,,,Field Master Controlled
Driver,,,,,Pre-Timed (Fixed Time) Control
Vehicle,Class 2,Moderate,Moderate,Moderate,Pre-Timed (Fixed Time) Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Pre-Timed (Fixed Time) Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Pre-Timed (Fixed Time) Control
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Pre-Timed (Fixed Time) Control
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Pre-Timed (Fixed Time) Control
Traffic Operations Personnel,,,,,Pre-Timed (Fixed Time) Control
Pedestrian,,,,,Pre-Timed (Fixed Time) Control
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Pre-Timed (Fixed Time) Control
MMV User,,,,,Pre-Timed (Fixed Time) Control
Vehicle Characteristics,,,,,Pre-Timed (Fixed Time) Control
Driver,,,,,Fully Traffic Responsive
Vehicle,Class 2,Moderate,Moderate,Moderate,Fully Traffic Responsive
Traffic Management Center,Class 3,Moderate,High,Moderate,Fully Traffic Responsive
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Fully Traffic Responsive
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Fully Traffic Responsive
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Fully Traffic Responsive
Traffic Operations Personnel,,,,,Fully Traffic Responsive
Pedestrian,,,,,Fully Traffic Responsive
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Fully Traffic Responsive
MMV User,,,,,Fully Traffic Responsive
Vehicle Characteristics,,,,,Fully Traffic Responsive
Driver,,,,,Field Master Controlled
Vehicle,Class 2,Moderate,Moderate,Moderate,Field Master Controlled
Traffic Management Center,Class 3,Moderate,High,Moderate,Field Master Controlled
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Field Master Controlled
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Field Master Controlled
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Field Master Controlled
Traffic Operations Personnel,,,,,Field Master Controlled
Pedestrian,,,,,Field Master Controlled
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Field Master Controlled
